@RELATION ontolo_new_trop

@ATTRIBUTE cooc NUMERIC
@ATTRIBUTE lesk NUMERIC
@ATTRIBUTE relation {"ant","tmp","ent","pre"}
@ATTRIBUTE correct {"+","-"}


@DATA
0,0,tmp,+
0,0,tmp,+
0,0,tmp,+
0,0,tmp,+
0,0,tmp,+
0,0,tmp,+
0,0,tmp,+
0,0,tmp,+
0,0,tmp,+
0,0,tmp,+
0,0,tmp,+
0,0,tmp,+
0,0,tmp,+
0,0,tmp,+
0,0,tmp,+
0,0,tmp,+
0,0,tmp,+
0,0,tmp,+
0,0,tmp,+
0,0,tmp,+
0,0,tmp,+
0,0,tmp,+
0,0,tmp,+
0,0,tmp,+
0,0,tmp,+
0,0,tmp,+
0,0,tmp,+
0,0,tmp,+
0,0,tmp,+
0,0,tmp,+
0,0,tmp,+
0,0,tmp,+
0,0,tmp,+
0,0,tmp,+
0,0,tmp,+
0,0,tmp,+
0,0,tmp,+
0,0,tmp,+
0,0,tmp,+
0,0,tmp,+
0,0,tmp,+
0,0,tmp,+
0,0,tmp,+
0,0,tmp,+
0,0,tmp,+
0,0,tmp,+
0,0,tmp,+
0,0,tmp,+
0,0,tmp,+
0,0,tmp,+
0,0,tmp,+
0,0,tmp,+
0,0,tmp,+
0,0,tmp,+
0,0,tmp,+
0,0,tmp,+
0,0,tmp,+
0,0,tmp,+
0,0,ent,-
0.03333333333333333,0,ant,-
0,0,ant,-
0.06666666666666667,1,ant,-
0,2,ant,-
0.046875,2,ant,-
0,0,tmp,-
0,0,ant,-
1.0,0,ent,-
0.01002227171492205,0,ent,-
0,0,pre,-
0.019230769230769232,0,ant,-
0,1,pre,-
0,1,ant,-
0,0,ent,-
0,1,ent,-
0.12487411883182276,2,ent,-
0,1,ant,-
0.0049261083743842365,2,pre,-
0.00966183574879227,1,ent,-
0.06218181818181818,1,pre,-
0.0196078431372549,0,ant,-
0.022222222222222223,0,ent,-
0.007936507936507936,2,pre,-
0,3,ant,-
0,0,ant,-
0,0,tmp,-
0,0,ant,-
0.046153846153846156,0,ant,-
1.0,0,pre,-
0.018518518518518517,0,ant,-
0.008264462809917356,0,ent,-
0.023809523809523808,0,ent,-
0,0,ant,-
0,0,ant,-
0,1,pre,-
0,0,ant,-
0,0,tmp,-
0,0,ant,-
0,0,ant,-
0,1,ent,-
0,0,pre,-
0,0,pre,-
0,0,ant,-
0.02586206896551724,0,pre,-
0,0,pre,-
0,0,ant,-
0,0,ant,-
0.00819672131147541,0,pre,-
0.03278688524590164,0,ant,-
0,0,pre,-
0,2,ent,-
0,2,ent,-
0.013836477987421384,1,ent,-
0,0,ent,-
0.00819672131147541,1,pre,-
0,1,ant,-
0.12440191387559808,2,ent,-
0,1,tmp,-
0.046153846153846156,0,ant,-
0,1,ent,-
0,1,ant,-
0,0,ent,-
0,1,ant,-
0.08108108108108109,1,ant,-
0,2,pre,-
0.08296943231441048,3,pre,-
0,1,ant,-
0,0,ant,-
0,2,ent,-
0,0,ant,-
0,0,ant,-
0.00966183574879227,2,ent,-
0,0,ant,-
0.14492753623188406,0,ent,-
0.12440191387559808,0,ent,-
0.046153846153846156,1,ant,-
0.32142857142857145,1,ant,+
0.32142857142857145,1,ant,+
0.32142857142857145,1,ant,+
0.32142857142857145,1,ant,+
0.32142857142857145,1,ant,+
0.32142857142857145,1,ant,+
0.32142857142857145,1,ant,+
0.32142857142857145,1,ant,+
0.32142857142857145,1,ant,+
0.32142857142857145,1,ant,+
0.32142857142857145,1,ant,+
0.32142857142857145,1,ant,+
0.32142857142857145,1,ant,+
0.32142857142857145,1,ant,+
0.32142857142857145,1,ant,+
0.32142857142857145,1,ant,+
0.32142857142857145,1,ant,+
0.32142857142857145,1,ant,+
0.32142857142857145,1,ant,+
0.32142857142857145,1,ant,+
0.32142857142857145,1,ant,+
0.32142857142857145,1,ant,+
0.32142857142857145,1,ant,+
0.32142857142857145,1,ant,+
0.32142857142857145,1,ant,+
0.32142857142857145,1,ant,+
0.32142857142857145,1,ant,+
0.32142857142857145,1,ant,+
0.32142857142857145,1,ant,+
0.32142857142857145,1,ant,+
0.32142857142857145,1,ant,+
0.32142857142857145,1,ant,+
0.32142857142857145,1,ant,+
0.32142857142857145,1,ant,+
0.32142857142857145,1,ant,+
0.32142857142857145,1,ant,+
0.32142857142857145,1,ant,+
0.32142857142857145,1,ant,+
0.32142857142857145,1,ant,+
0.32142857142857145,1,ant,+
0.32142857142857145,1,ant,+
0.32142857142857145,1,ant,+
0.32142857142857145,1,ant,+
0.32142857142857145,1,ant,+
0.32142857142857145,1,ant,+
0.32142857142857145,1,ant,+
0.32142857142857145,1,ant,+
0.32142857142857145,1,ant,+
0.32142857142857145,1,ant,+
0.32142857142857145,1,ant,+
0.32142857142857145,1,ant,+
0.32142857142857145,1,ant,+
0.32142857142857145,1,ant,+
0.32142857142857145,1,ant,+
0.32142857142857145,1,ant,+
0.32142857142857145,1,ant,+
0.32142857142857145,1,ant,+
0.32142857142857145,1,ant,+
0.32142857142857145,1,ant,+
0.32142857142857145,1,ant,+
0.32142857142857145,1,ant,+
0,0,ant,-
0,2,ent,-
0,0,ant,-
0,0,ant,-
0,0,ent,-
0,3,tmp,-
0.004901960784313725,3,pre,-
0.046153846153846156,0,ant,-
0,1,ant,-
0.11764705882352941,0,ant,-
0,0,tmp,-
0.04411764705882353,0,pre,-
0.02127659574468085,0,ant,-
0,2,pre,-
0.04411764705882353,1,ant,-
0.0053475935828877,1,ent,-
0,1,ent,-
0.06145833333333333,1,pre,-
0,0,ant,-
0.03636363636363636,0,ent,-
0.12440191387559808,0,ent,-
0.04477611940298507,0,ant,-
0,0,pre,-
0,1,ent,-
0.07462686567164178,1,pre,-
0,0,tmp,-
0,0,ant,-
0.003401360544217687,0,ent,-
0,0,pre,-
0,1,ant,-
0,0,ant,-
0,0,tmp,-
0,0,ant,-
0.05263157894736842,0,pre,-
0,0,pre,-
0.07758620689655173,0,ant,-
0.06218181818181818,1,pre,-
0,0,tmp,-
0,0,ant,-
0,0,ent,-
0,0,ant,-
0.022792022792022793,1,ent,-
0.07462686567164178,2,pre,-
0,0,ant,-
0,0,ant,-
0,0,ant,-
0.03225806451612903,1,ant,-
0.046153846153846156,1,ant,-
0,0,ant,-
0.018518518518518517,0,ant,-
0,1,ant,-
0,0,ant,-
0,0,ent,-
0,0,ant,-
0,0,ant,-
0,0,ent,-
0,0,ent,-
0,1,ant,-
0,2,ant,-
0,4,ant,+
0,4,ant,+
0,4,ant,+
0,4,ant,+
0,4,ant,+
0,4,ant,+
0,4,ant,+
0,4,ant,+
0,4,ant,+
0,4,ant,+
0,4,ant,+
0,4,ant,+
0,4,ant,+
0,4,ant,+
0,4,ant,+
0,4,ant,+
0,4,ant,+
0,4,ant,+
0,4,ant,+
0,4,ant,+
0,4,ant,+
0,4,ant,+
0,4,ant,+
0,4,ant,+
0,4,ant,+
0,4,ant,+
0,4,ant,+
0,4,ant,+
0,4,ant,+
0,4,ant,+
0,4,ant,+
0,4,ant,+
0,4,ant,+
0,4,ant,+
0,4,ant,+
0,4,ant,+
0,4,ant,+
0,4,ant,+
0,4,ant,+
0,4,ant,+
0,4,ant,+
0,4,ant,+
0,4,ant,+
0,4,ant,+
0,4,ant,+
0,4,ant,+
0,4,ant,+
0,4,ant,+
0,4,ant,+
0,4,ant,+
0,4,ant,+
0,4,ant,+
0,4,ant,+
0,4,ant,+
0,4,ant,+
0,4,ant,+
0,4,ant,+
0,4,ant,+
0,4,ant,+
0,4,ant,+
0,4,ant,+
0.10893854748603352,1,pre,-
0.006578947368421052,1,ent,-
0,0,pre,-
0,0,ant,-
0,0,tmp,-
0,1,tmp,-
0.11764705882352941,0,ant,-
0,1,pre,-
0.003401360544217687,1,ent,-
0.25,1,pre,-
0.02752842609216038,0,ent,-
0,0,ant,-
0,1,ant,-
0.06847826086956521,1,pre,-
0,1,tmp,-
0.04887218045112782,0,pre,-
0,0,ant,-
0,0,tmp,-
0,1,ent,-
0,1,ent,-
0.1111111111111111,1,ent,-
0,0,tmp,-
0.019230769230769232,0,ant,-
0,1,tmp,-
0,0,ant,-
0,1,ant,-
0,0,ent,-
0.003779289493575208,1,ent,-
0.12440191387559808,0,ent,-
0,0,ant,-
0,0,pre,-
0.07513416815742398,0,pre,-
0,0,ant,-
0.04021269524759056,1,ent,-
0,0,ent,-
0,1,ant,-
0,0,ent,-
0.018867924528301886,1,ant,-
0,0,ent,-
0,1,ent,-
0,2,ent,-
0,0,ant,-
0,2,ent,-
0.2608695652173913,1,pre,-
0.053452115812917596,1,ent,-
0,0,ent,-
0,2,ant,-
0,1,ant,-
0.018518518518518517,0,ant,-
0.0049261083743842365,2,pre,-
0.011228533685601057,1,ent,-
0,0,ent,-
0,1,ent,-
0,0,tmp,-
0,0,ant,-
0.02121001390820584,0,ent,-
0,0,tmp,-
1.0,0,ent,-
0.048392554991539764,0,ent,-
0.01862464183381089,1,ent,-
0,1,ant,-
0.04411764705882353,0,pre,-
0.1,0,ant,+
0.1,0,ant,+
0.1,0,ant,+
0.1,0,ant,+
0.1,0,ant,+
0.1,0,ant,+
0.1,0,ant,+
0.1,0,ant,+
0.1,0,ant,+
0.1,0,ant,+
0.1,0,ant,+
0.1,0,ant,+
0.1,0,ant,+
0.1,0,ant,+
0.1,0,ant,+
0.1,0,ant,+
0.1,0,ant,+
0.1,0,ant,+
0.1,0,ant,+
0.1,0,ant,+
0.1,0,ant,+
0.1,0,ant,+
0.1,0,ant,+
0.1,0,ant,+
0.1,0,ant,+
0.1,0,ant,+
0.1,0,ant,+
0.1,0,ant,+
0.1,0,ant,+
0.1,0,ant,+
0.1,0,ant,+
0.1,0,ant,+
0.1,0,ant,+
0.1,0,ant,+
0.1,0,ant,+
0.1,0,ant,+
0.1,0,ant,+
0.1,0,ant,+
0.1,0,ant,+
0.1,0,ant,+
0.1,0,ant,+
0.1,0,ant,+
0.1,0,ant,+
0.1,0,ant,+
0.1,0,ant,+
0.1,0,ant,+
0.1,0,ant,+
0.1,0,ant,+
0.1,0,ant,+
0.1,0,ant,+
0.1,0,ant,+
0.1,0,ant,+
0.1,0,ant,+
0.1,0,ant,+
0.1,0,ant,+
0.1,0,ant,+
0.1,0,ant,+
0.1,0,ant,+
0.1,0,ant,+
0.1,0,ant,+
0.1,0,ant,+
0,0,ent,-
0.015209125475285171,0,ent,-
0.04832214765100671,2,pre,-
0,1,tmp,-
0,0,ant,-
0,0,ant,-
0.011292346298619825,0,ent,-
0.05055487053020962,4,pre,-
0,1,tmp,-
0,2,ent,-
0,0,ant,-
0,0,ant,-
0,0,ant,-
0,1,ent,-
0,2,ant,-
0.04,0,ant,-
0.0423042304230423,1,ent,-
0,2,tmp,-
0,0,tmp,-
0,1,ant,-
0,1,ant,-
0,1,tmp,-
0.20087336244541484,0,ant,+
0.20087336244541484,0,ant,+
0.20087336244541484,0,ant,+
0.20087336244541484,0,ant,+
0.20087336244541484,0,ant,+
0.20087336244541484,0,ant,+
0.20087336244541484,0,ant,+
0.20087336244541484,0,ant,+
0.20087336244541484,0,ant,+
0.20087336244541484,0,ant,+
0.20087336244541484,0,ant,+
0.20087336244541484,0,ant,+
0.20087336244541484,0,ant,+
0.20087336244541484,0,ant,+
0.20087336244541484,0,ant,+
0.20087336244541484,0,ant,+
0.20087336244541484,0,ant,+
0.20087336244541484,0,ant,+
0.20087336244541484,0,ant,+
0.20087336244541484,0,ant,+
0.20087336244541484,0,ant,+
0.20087336244541484,0,ant,+
0.20087336244541484,0,ant,+
0.20087336244541484,0,ant,+
0.20087336244541484,0,ant,+
0.20087336244541484,0,ant,+
0.20087336244541484,0,ant,+
0.20087336244541484,0,ant,+
0.20087336244541484,0,ant,+
0.20087336244541484,0,ant,+
