@RELATION ontolo

@ATTRIBUTE cooc NUMERIC
@ATTRIBUTE lesk NUMERIC
@ATTRIBUTE relation {"ant","tmp","ent","pre"}
@ATTRIBUTE correct {"+","-"}


@DATA
0,0,ant,-
0.017857142857142856,0,ant,-
0.09909326424870467,1,ent,-
0,0,ant,-
0,0,ent,-
0.0016680567139282735,0,ent,-
0,1,ant,-
0,0,ant,-
0,1,ent,-
0,0,tmp,-
0,0,ant,-
0,0,ant,-
0.04769475357710652,3,ent,-
0,0,ant,-
0.3484848484848485,2,pre,-
0,1,ant,-
0,2,tmp,-
0,0,tmp,-
0,0,tmp,-
0,0,ant,-
0,1,ant,-
0.2146341463414634,3,pre,-
0,1,tmp,-
0.056338028169014086,0,ant,-
0.012307692307692308,0,pre,-
0,0,tmp,-
1.2413793103448276,0,ant,-
0.21350931677018634,1,ent,-
0,0,ent,-
0,0,ant,-
0.03571428571428571,0,ant,-
0.0037105751391465678,0,ent,-
0,1,ant,-
0.023255813953488372,1,ant,-
0.009259259259259259,0,ent,-
0,1,pre,-
0,0,ant,-
0.04526748971193416,2,pre,-
0,0,ant,-
0,1,pre,-
0,0,ant,-
0,2,ant,-
0.17488789237668162,0,pre,-
0,1,tmp,-
0,0,ant,-
0,0,ant,-
0,1,ent,-
0.1111111111111111,0,ent,-
5.82532751091703,0,ant,+
0.04081632653061224,0,ant,-
0,0,pre,-
0.052062204192021636,0,ent,-
0,0,ent,-
0,0,ent,-
1.6071428571428572,0,ent,-
0,5,pre,-
0,0,ant,-
0,1,tmp,-
1.5772058823529411,1,ent,-
0,0,tmp,-
0.06218181818181818,1,pre,-
0,0,pre,-
0.04081632653061224,1,ant,-
0,0,ent,-
0.04758064516129032,0,ent,-
0,1,ant,-
0,1,ant,-
0,1,ent,-
0,0,ant,-
0,1,tmp,-
0,0,ent,-
0.007897705904475368,0,ent,-
0,1,ant,-
0.05263157894736842,0,pre,-
0,0,ant,-
0,0,pre,-
0,2,ent,-
0.05187319884726225,0,pre,-
0.06557377049180328,1,ent,-
0,0,tmp,-
0.0033333333333333335,1,ent,-
0,0,ent,-
0.02127659574468085,0,ant,-
0,1,ent,-
0,0,ant,-
0,2,ent,+
0,1,tmp,-
0,1,ant,-
0,0,tmp,-
3.865432538269847,1,ent,-
0.015217391304347827,0,ent,-
0,0,ant,-
0,2,tmp,-
0.018518518518518517,0,ant,-
0,0,ant,-
0,0,pre,-
0,0,ant,-
0.10038610038610038,0,pre,-
0,1,pre,-
0,0,pre,-
0,1,tmp,-
0.02127659574468085,0,ant,-
0,0,ant,-
0,0,pre,-
0,1,tmp,-
0.6062665156662892,1,pre,-
0,2,ent,-
0,1,ant,-
0,0,tmp,-
0,1,tmp,-
0.00596252129471891,0,ent,-
0.18777292576419213,3,ant,-
0.031746031746031744,1,ant,-
0,0,ant,-
0,3,ant,-
0,1,ant,-
2.3333333333333335,1,ant,+
0.018518518518518517,0,ant,-
0,0,ant,-
0,0,ent,-
0,2,ant,-
0,1,tmp,-
0,0,ant,-
0.02619871478002966,0,ent,-
0,0,ant,-
0.11764705882352941,0,ant,-
0,0,ant,-
0,2,ant,-
0,0,ant,-
0.1111111111111111,1,ent,-
0.7894736842105263,0,tmp,-
0,1,ant,-
0,0,ant,-
0,4,ant,-
0.018867924528301886,0,ant,-
0,0,ant,-
0.011292346298619825,0,ent,-
0,0,pre,-
0.01020408163265306,0,pre,-
0.9642857142857143,0,ant,-
0,0,ant,-
0,2,ent,-
0,0,tmp,-
0,0,ant,-
0,2,pre,-
0,1,ant,-
0,1,ant,-
0,0,ant,-
0.0064761904761904765,0,ent,-
0,0,ent,-
0,0,pre,-
0.04526748971193416,0,pre,-
0,0,ant,-
0,0,ant,-
1.3,0,ant,-
0,0,ant,-
7.428571428571429,1,tmp,+
0,2,tmp,-
0,0,ant,-
0,0,ant,-
0,0,ant,-
0.0032948929159802307,0,ent,-
0,0,tmp,-
0,1,tmp,-
0,1,ant,-
0,0,ant,-
0.05405405405405406,1,pre,-
0.04411764705882353,0,ant,-
0,1,ent,-
0,0,ant,-
0,0,pre,-
0.3620689655172414,0,pre,-
0.13846153846153847,0,ent,-
0.1111111111111111,1,ent,-
0.02952755905511811,1,ent,-
0,1,pre,-
0.04768211920529802,0,pre,-
206.0,0,tmp,-
0,1,ant,-
0,1,ant,-
0,0,ent,-
0,0,pre,-
0.4603372891942536,0,ent,-
0,2,ent,-
0,2,ant,-
0,0,ant,-
0.018518518518518517,1,ant,-
0.11764705882352941,0,ant,-
0.018867924528301886,1,ant,-
0,0,ant,-
0,1,pre,-
0.019230769230769232,0,ant,-
0,0,ant,-
0.045020463847203276,0,pre,-
0,0,ant,-
0.09090909090909091,1,ant,-
0.04504504504504504,0,pre,-
0,1,ant,-
1.8604651162790697,0,ant,-
0.023809523809523808,0,ent,-
0.022792022792022793,0,ent,-
0,2,pre,-
0,0,ant,-
0.1111111111111111,0,ent,-
0,0,ent,-
0,0,ant,-
0,0,ant,-
0.01818181818181818,1,ant,-
2.9130434782608696,0,ant,-
0,0,ant,-
0,0,ant,-
0.15789473684210525,0,pre,-
0,0,tmp,-
0,1,ent,-
0,0,ant,-
0,0,ant,-
0,0,ant,-
0,0,pre,-
0,0,ent,-
0.05263157894736842,0,pre,-
0,1,ant,-
0.06716417910447761,1,ant,-
0,1,ent,-
0,0,ant,-
0,0,ant,-
0.028021015761821366,0,ent,-
0.04758064516129032,1,ent,-
0.018518518518518517,0,ant,-
0,0,ent,-
0.043478260869565216,2,ant,-
0,0,ant,-
0.04838709677419355,0,pre,-
0.046153846153846156,0,ant,-
0,2,ent,-
0.9264705882352942,1,ant,-
0,0,tmp,-
0.018518518518518517,0,ant,-
0,0,tmp,-
0,0,ant,-
0.0011655011655011655,1,ent,-
0.006600660066006601,0,ent,-
0.019230769230769232,0,ant,-
0.046153846153846156,0,ant,-
0.1111111111111111,1,ent,-
0,0,ant,-
0,2,ent,-
0,0,ent,-
0,0,ant,-
0.01818181818181818,3,ant,-
0,1,pre,-
0.1,1,ant,-
0,5,tmp,-
0,0,ent,-
0,2,tmp,-
0,1,ant,-
0,0,pre,-
0,2,pre,-
0,1,tmp,-
0.07758620689655173,0,ant,-
0,0,ent,-
0.017167381974248927,2,pre,-
0.006578947368421052,1,ent,-
0,0,tmp,-
0,0,ant,-
0,0,ent,-
0,1,tmp,-
0.03333333333333333,0,ant,-
0.02142857142857143,0,pre,-
0,1,ent,-
0,4,ent,-
0,0,ent,-
0.04779874213836478,2,pre,-
0.006578947368421052,0,ent,-
0,1,tmp,-
0.019230769230769232,0,ant,-
0,0,ant,-
0.006600660066006601,1,ent,-
0,0,pre,-
0,0,ant,-
0,0,ent,-
0.07462686567164178,1,pre,-
0,1,ant,-
0,1,ant,-
0,0,tmp,-
0,1,ant,-
0,0,ant,-
0,0,ent,-
0,0,pre,-
0,1,ent,-
0,0,ant,-
0,0,ant,-
0,0,ant,-
0.025466893039049237,1,ent,-
0,0,ant,-
0,0,ant,-
1.0985915492957747,0,ent,-
0,0,tmp,-
